,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p,27_n,27_p,28_n,28_p,29_n,29_p,30_n,30_p,31_n,31_p,32_n,32_p,33_n,33_p,34_n,34_p,35_n,35_p,36_n,36_p,37_n,37_p,38_n,38_p,39_n,39_p,40_n,40_p,41_n,41_p,42_n,42_p,43_n,43_p,44_n,44_p,45_n,45_p,46_n,46_p,47_n,47_p,48_n,48_p,49_n,49_p,50_n,50_p,51_n,51_p,52_n,52_p,53_n,53_p,54_n,54_p,55_n,55_p,56_n,56_p,57_n,57_p,58_n,58_p,59_n,59_p,60_n,60_p,61_n,61_p,62_n,62_p,63_n,63_p,64_n,64_p,65_n,65_p,66_n,66_p,67_n,67_p,68_n,68_p
0,PLVAP,0.0,IL7R,0.0,CCL5,0.0,CCL5,0.0,KRT17,0.0,CLDN3,0.0,KRT19,0.0,HLA-DRA,0.0,TFF3,0.0,CALD1,0.0,TAGLN,0.0,IFI27,0.0,KRT17,6.048524053719133e-219,IL7R,0.0,CCL5,0.0,TPSAB1,0.0,DCN,0.0,FTL,0.0,CD7,0.0,IL32,0.0,ACPP,0.0,NKG7,0.0,MALAT1,0.0,TFF3,0.0,KLK3,2.603351447700834e-91,CD37,0.0,HLA-DRA,0.0,MSMB,2.216679671437495e-169,C11orf96,1.5630768734723493e-180,CLDN1,3.1247526815072065e-291,NEAT1,2.4802491371081734e-181,TFF3,4.331867774604425e-190,HLA-DRA,1.504755071530439e-157,SEMG1,1.6714141690526884e-144,GPM6B,9.590393146704511e-120,CD74,5.464837601248386e-105,MT-ND3,3.0973027878475036e-111,METRNL,4.550529431938315e-80,FABP5,2.0413361401156363e-74,TSPAN1,6.641982635170825e-42,SPON2,1.43541387284094e-54,CCL21,1.1750932678587956e-54,IGKC,1.9428005686719588e-28,G0S2,2.4158040586946588e-40,SEPT7,8.805681994709282e-34,PLA2G2A,6.191509027824791e-32,PCAT4,8.92653304795367e-30,CHI3L1,3.093844958172393e-25,CXCL3,3.5385970705997643e-23,CHI3L1,1.270664744389796e-22,SERPINB3,2.9343226381890682e-21,MT1G,2.956122036343927e-20,SLC12A2,1.4130493981525583e-19,ACTA1,5.0363710487690013e-20,APOC1,8.00651886337816e-18,MGP,1.4477864571198568e-16,NPY,2.433888138149321e-17,SPON2,3.2930629122602367e-17,APOC1,1.7191042938005417e-16,NPY,3.1744221862401856e-15,H2AFJ,1.2881524489992232e-14,MT1G,8.18179159825742e-13,ACTA2,1.4459027138431596e-12,DCN,3.6431198442221105e-11,FBLN1,1.783802800934673e-10,TFF3,2.4165111773818236e-11,PRR4,2.344800566413553e-11,TWISTNB,3.752709230650962e-11,MT1H,2.4712409979093557e-09
1,IFI27,0.0,RPS29,0.0,CXCR4,0.0,CD3G,0.0,DST,0.0,SORD,0.0,PERP,0.0,CD74,0.0,NPY,0.0,IGFBP7,0.0,MYH11,0.0,SLC9A3R2,0.0,TM4SF1,1.2025525848409923e-201,KLRB1,0.0,GZMA,0.0,CPA3,0.0,FBLN1,0.0,FTH1,0.0,TYROBP,0.0,HLA-A,0.0,KLK3,0.0,GNLY,0.0,MT-CO1,0.0,FABP5,0.0,JUND,1.1727663297069552e-86,CD79A,0.0,CD74,0.0,KLK3,3.58336829107628e-137,MT2A,1.1667432834705743e-161,CLU,2.8246295657499198e-288,MALAT1,3.2072539252343617e-166,H2AFJ,2.0729089175129155e-171,FTL,1.7777714467669316e-150,SEMG2,1.674317885681386e-144,SCN7A,2.2258553765160412e-116,LYZ,1.0746069503546784e-97,CST1,2.6509342474765887e-109,PTPRC,6.035648692252954e-78,SPON2,2.7480886913152384e-74,CAPS,1.1522475091665077e-41,TFF3,9.92838800110182e-54,TFPI,1.3894798548291985e-54,MZB1,2.1921306157452817e-28,FTL,2.528428401979497e-37,FAM198B,4.018708798633011e-33,ACPP,1.8037268846035483e-31,SMS,2.1989044476533303e-29,MT1M,8.174228500739263e-25,CXCL1,4.936676170445543e-23,CTSS,2.315965622745495e-22,MMP7,4.027906154740432e-21,APOC1,3.7951034401560023e-20,AGR2,2.618167518417018e-19,TNNT3,5.0411565366837073e-20,EREG,1.1372147217895209e-17,FBLN1,1.4492844426851073e-16,KLK3,3.88090261486468e-17,AC020656.1,5.5293800329386117e-17,APOE,1.851583445231499e-16,RDH11,9.255285493801088e-15,S100A8,1.4545384919395006e-14,MT1H,1.306790147565718e-12,TPM1,1.4631277946551702e-12,GDF15,4.231648993058093e-11,CLDN4,1.8855298982982263e-10,KLK3,2.773986045463104e-11,BCL2A1,3.40309669255518e-11,FABP5,5.6604001398434044e-11,MT1G,2.8038234923665703e-09
2,VWF,0.0,RPL28,0.0,PTPRC,0.0,CD3D,0.0,KRT5,0.0,EPCAM,0.0,EHF,0.0,HLA-DPA1,0.0,H2AFJ,0.0,RGS5,0.0,MYL9,0.0,SPTBN1,0.0,KRT19,1.8136748247476664e-161,CD69,0.0,GZMK,0.0,TPSB2,0.0,APOD,0.0,LYZ,0.0,KLRD1,0.0,TRAC,0.0,KLK2,0.0,CST7,0.0,MT-ATP6,0.0,ACPP,0.0,HSP90AA1,3.653662844136557e-78,MS4A1,0.0,HLA-DRB1,6.249994135139053e-308,KLK2,1.4830262827119554e-117,TAGLN,8.238383266825647e-109,KRT19,6.200910730850826e-278,MTRNR2L12,1.5076817635881158e-164,ACPP,1.0588072513818064e-170,HLA-DPB1,2.1035746709362307e-148,PIP,1.7744942892619695e-144,PMP22,2.513012925168833e-113,HLA-DRA,5.032936881917023e-97,MT-CO2,5.661067980715689e-107,BTG1,1.7080589546754905e-70,TFF3,3.856144641516376e-74,PIFO,1.0140412969638649e-38,H2AFJ,4.733099093375404e-53,GNG11,1.6893771235625644e-53,JCHAIN,4.0101739978716338e-28,MT1G,1.0771832669208553e-36,SLC9A3R2,4.212214061623465e-33,TFF3,3.137282917576141e-31,DBI,2.2649039112415346e-29,MT1H,1.298865391672988e-24,CCL20,6.548951507916635e-22,CSTB,2.489201293765417e-22,WFDC2,6.676460556499007e-21,MT1E,4.0816187336387123e-20,GDF15,1.2215663283661925e-18,CSRP3,5.0474212650462534e-20,LYZ,7.705732913487612e-17,DCN,5.41572279148592e-16,TFF3,1.0267972249811552e-16,ACPP,6.987340051234668e-17,PSAP,2.4937005059064386e-16,RLN1,2.0350925290131612e-14,S100A9,2.2325763262184798e-14,IFI30,4.982876993755937e-12,NEB,4.133154540551629e-12,TNFSF10,8.255163145718557e-11,KRT17,3.4387903304084774e-10,NCAPD3,2.985473431460574e-11,IL1A,4.5632180912359174e-11,CCL3,7.724798166344844e-11,MT1M,3.0428749855287347e-09
3,SPARCL1,0.0,RPS27,0.0,HSP90AA1,0.0,CD3E,0.0,MIR205HG,0.0,SEC11C,0.0,MIR205HG,0.0,HLA-DPB1,0.0,SPON2,0.0,EPS8,0.0,TPM2,0.0,PECAM1,0.0,ACTG1,2.333344499485956e-132,CXCR4,0.0,IL32,0.0,MS4A2,0.0,LUM,0.0,TYROBP,0.0,NKG7,0.0,TIGIT,0.0,H2AFJ,0.0,FGFBP2,0.0,MT-ND2,2.100087108834981e-308,RDH11,0.0,TFF3,2.86747684494988e-76,BANK1,0.0,HLA-DPA1,3.2652675079629413e-293,SERF2,2.5915313936853788e-110,CCL3,3.094774188276289e-106,TACSTD2,8.764071807290862e-278,MT-ND5,1.7154138068984026e-163,KLK2,1.8991378260527584e-165,AIF1,2.1807365057379997e-147,AKR1B1,7.997455831485513e-127,S100B,1.2436082656994844e-112,HLA-DPA1,1.1121437752620023e-95,AMACR,6.069423376347868e-107,CST7,6.21281564651006e-67,TMEFF2,2.1930605132060322e-73,LRRIQ1,2.462443004351062e-38,RLN1,1.3039089625994248e-50,MMRN1,5.14058477056382e-53,SSR4,1.116166662844416e-25,TIMP1,2.0539892989201447e-36,SPARC,1.1425578018821155e-32,H2AFJ,7.025185468145116e-31,MINOS1,3.50556937127901e-29,MT1G,1.6995692594076232e-24,H2AFJ,3.9790107404611984e-20,LSP1,8.767144309339377e-22,KRT23,1.1084936100757628e-20,MT1H,4.8988929399439605e-20,IL1B,2.317507974393111e-18,MYL1,5.0496341825161643e-20,APOE,1.836208089290432e-16,LUM,1.062506405505131e-15,C15orf48,1.1649485326413348e-16,KLK3,1.1850775176086e-16,S100A8,3.053970198486746e-16,C15orf48,4.528628183609911e-14,BAMBI,2.901567312024029e-14,C1QA,5.696734399949117e-12,TAGLN,1.7598243790180096e-11,CHMP1B,2.5518742916898763e-10,C15orf48,3.4713151877894237e-10,RDH11,3.1933059044594194e-11,IL10,6.32562602861866e-11,IL1B,1.1510927308135553e-10,MT1F,5.628473626451874e-09
4,LIFR,0.0,IL32,0.0,YPEL5,0.0,CD8A,0.0,TACSTD2,0.0,SLC44A4,0.0,ELF3,0.0,HLA-DRB1,0.0,PLA2G2A,0.0,MYL9,0.0,RGS5,0.0,EPAS1,0.0,TACSTD2,8.516520317989906e-125,CD3D,0.0,PTPRC,0.0,IL1RL1,0.0,PTN,0.0,CTSS,0.0,KLRB1,0.0,SPOCK2,0.0,TFF3,0.0,GZMB,0.0,MT-CYB,3.2927523893189133e-301,KLK2,0.0,HSPD1,3.248794952912155e-63,HLA-DRA,0.0,HLA-DPB1,5.751051471646346e-287,KLK4,3.943557009032378e-99,MTRNR2L12,2.427758157985019e-101,CLDN4,1.8946331754180294e-275,MT-ND4,3.237784667472027e-147,RDH11,1.1257551672497317e-164,HLA-DPA1,7.661427067119853e-146,LTF,5.0905282923162594e-126,CRYAB,3.4483660258514916e-111,HLA-DPB1,2.376187736120678e-94,HSD17B6,1.4491131611312186e-105,CCL5,1.3309117588234621e-66,RDH11,3.6789693364644024e-73,TMC5,2.6959647902365073e-36,MESP1,5.845820686588852e-50,PPFIBP1,3.842531349293757e-49,DERL3,2.1460959298903426e-23,LYZ,4.934995820591282e-36,PLPP3,7.682081314210343e-32,CST3,8.717133108231088e-31,FAM213A,4.8527563516563934e-29,CSTB,2.1022826204677183e-24,CXCL8,4.283462462129445e-20,FTL,1.1175887685859487e-21,S100A9,1.6332941900921543e-20,APOE,7.219157908649341e-20,ANXA2,3.2825531726195267e-18,TNNC2,5.0536936889853076e-20,AC020656.1,5.762436117404097e-16,CCN2,9.48307817159267e-15,RDH11,1.9856737472053362e-16,SMS,1.324984491500914e-16,SPP1,3.2590426404574963e-16,PLA2G2A,8.814132993756421e-14,RLN1,4.042292589692282e-14,PSAP,1.1029631646384266e-11,MT-CO1,3.279179218945071e-11,CST3,1.0184329931771646e-09,KRT15,4.2572643096172005e-10,SMS,3.221053979986918e-11,IL1B,7.981764833136169e-11,EEF1A1,1.2071403311096218e-10,MT2A,5.864280089893623e-09
5,A2M,0.0,RPLP2,0.0,CD3D,0.0,CD2,0.0,F3,0.0,GOLM1,0.0,WFDC2,0.0,HLA-DQA1,0.0,FABP5,0.0,STEAP4,0.0,ACTA2,0.0,RAMP2,0.0,EGR1,1.135651116515263e-110,BTG1,0.0,CCL4,0.0,KIT,0.0,IGF1,0.0,SOD2,0.0,CTSW,0.0,PTPRC,0.0,PLA2G2A,0.0,GZMH,0.0,MT-CO2,1.336620698709147e-296,SPON2,0.0,RPS29,4.0891155477069144e-59,CD74,0.0,IL1B,3.165015169753266e-266,SORD,1.0018450303319781e-94,HLA-DRA,9.520108663349396e-96,KRT7,2.323954211168601e-272,MT-ND2,6.687495695690845e-128,KLK3,2.444056079608998e-164,CD74,3.321056171152649e-135,CD24,4.472620546517171e-123,NRXN1,1.866505467982636e-110,HLA-DRB1,9.883339636038737e-93,SLC38A11,1.0720895177277555e-104,SRGN,1.6517864601837386e-64,KLK2,2.2355824427042123e-72,DSP,1.4439835294114968e-35,TRPM4,1.310000420892084e-49,S100A10,4.963294713208456e-49,FKBP11,1.62462134050838e-20,MT2A,5.143066187088552e-36,TM4SF18,8.73026922305713e-32,RLN1,1.6773571518840915e-28,FASN,7.937057302197545e-29,MT1F,3.0692983240235548e-24,ACPP,5.778708111861351e-19,MT1G,1.913886456389097e-21,CXCL11,4.9202070726082216e-20,MT1X,1.1220313812043644e-19,TSPAN8,4.196677976564661e-18,TNNI2,5.0540628949535564e-20,IL1RN,8.755949781663789e-16,PAGE4,2.0270915186933416e-14,KLK2,2.236381212398954e-16,RDH11,1.8374528924831502e-16,CTSD,3.2771648983196456e-16,TFF3,9.413890407406881e-14,FABP5,5.37055220434938e-14,FCER1G,2.501367788218853e-11,MYLPF,7.904460778860813e-11,RPS26,1.4921433656986632e-09,NCOA7,4.609583814392843e-10,FABP5,3.336980384207594e-11,CCL20,2.6819975390053987e-10,XBP1,1.5812864352113723e-10,AC020656.1,9.329760137720883e-09
6,GNG11,0.0,RPS15A,0.0,HSPE1,0.0,CD7,0.0,KRT19,0.0,SLC39A6,0.0,TACSTD2,0.0,HLA-DQB1,0.0,KLK3,0.0,TPM2,0.0,C11orf96,0.0,A2M,0.0,TSC22D1,1.841541205306691e-104,DNAJB1,0.0,CST7,0.0,HPGDS,0.0,MGP,0.0,FCER1G,0.0,TXK,0.0,CTLA4,0.0,AZGP1,0.0,PRF1,0.0,MT-CO3,7.575287983997383e-277,H2AFJ,0.0,BTG1,2.879638698046855e-53,HLA-DPB1,4.269565098577938e-288,CST3,7.876545860465492e-245,NKX3-1,5.313269786917422e-85,EGR1,5.610690771582322e-94,MIR205HG,3.947568447621492e-263,MT-CYB,2.2044329195225397e-126,FABP5,1.1091900258678534e-160,TMSB4X,2.4822845968224302e-130,SSR4,1.2965028928565116e-122,PLP1,1.936703440499622e-110,CST3,2.8264003310299817e-92,TNFRSF19,3.303906366253511e-104,SARAF,1.7207139787343043e-63,KLK3,4.528137369540432e-72,ELF3,8.168258704928217e-33,GDF15,3.671393466886047e-49,CLDN5,4.4287605050108046e-48,IGHA1,5.446668532119583e-19,CCL3,2.555863552809112e-35,AES,1.3493569725618564e-31,KLK3,2.2036532956603964e-27,MT-CO2,9.870775812569386e-29,APOC1,4.171760001006153e-24,LYZ,1.4544939895373379e-18,CTSD,2.8060286849177876e-21,SERPINB4,5.291720773555996e-20,MT1M,1.8417729420386118e-19,SOX4,1.693977706219192e-17,MYLPF,5.0607131635158066e-20,PSAP,9.106077274156558e-16,DUSP1,1.0203312923079642e-13,H2AFJ,6.951656362013342e-16,LYZ,1.9950005426510564e-16,S100A9,3.8575800027109584e-16,KLK3,1.1748942018168455e-13,DBI,7.22856878068839e-14,CD74,2.6295944969044133e-11,IGFBP5,3.79331273072616e-10,ZFP36,2.2893158547291107e-09,MT1G,1.1151197712445856e-09,PCA3,3.629527126393308e-11,CCL3,5.943308858256138e-10,SNHG29,2.2491516552805562e-10,TIMP1,1.0940750315339768e-08
7,IGFBP4,0.0,CD52,0.0,CREM,0.0,TRAC,0.0,PERP,0.0,MLPH,0.0,KLF5,0.0,TYROBP,0.0,MT1G,0.0,CAMK2N1,0.0,CALD1,0.0,RNASE1,0.0,CLDN4,4.991958658096146e-103,TMIGD2,0.0,NKG7,0.0,GATA2,0.0,LTBP4,0.0,IFI30,0.0,TRDC,0.0,CD2,0.0,RDH11,0.0,B2M,0.0,MT-ND4,2.4473966726781093e-236,KLK3,0.0,CXCR4,4.161179391931215e-52,RPS23,6.958606814449394e-279,CXCL8,4.984225753260658e-209,RPL3,2.5487954378669404e-75,CCL4L2,7.994230097590065e-91,LIMA1,1.1371651960508236e-262,MT-ND1,1.2230950742360101e-104,SPON2,2.361730799103178e-158,TYROBP,8.084842041366322e-127,PATE4,5.256930314991475e-122,FXYD1,2.8472010166611513e-102,HLA-DQA1,1.7376571874872015e-91,MT-ND2,3.803570322506218e-104,PTMA,1.542966595945906e-60,TSPAN1,3.6147933517925303e-71,FOXP1,9.071241479765929e-33,KLK3,5.066054762855296e-49,ANGPT2,7.408100228710891e-48,CD79A,4.892725283125526e-18,SOD2,6.679806314324049e-35,KDR,1.4757745526046412e-31,KLK2,3.826758844173476e-27,SLC45A3,1.0112233069928633e-28,MT1E,8.525059723482798e-24,TFF3,6.741135307680601e-18,MT1H,3.088444192996051e-21,KRT6A,5.635653724221776e-20,PSAP,2.2228220067471725e-19,MSMB,2.1170866246696126e-17,NEB,5.116095794436238e-20,GPR183,1.0435837981029747e-15,CCN1,2.165993964707174e-13,ACPP,7.88808831566326e-16,APOC1,2.0225228587579253e-16,AC020656.1,4.131698525330655e-16,DHRS7,1.5067649541822442e-13,LRRC75A,8.398398443687647e-14,MT1X,2.7774016608668905e-11,TTN,1.4635064833837555e-09,CLDN3,2.7431577886888076e-09,ACTG1,1.1168464993696322e-09,PDLIM5,5.409816347697579e-11,NFKBIA,1.042299246812287e-09,FCGR2A,3.282624169549046e-10,MT1X,2.1888840870194034e-08
8,RAMP3,0.0,LTB,0.0,HSPD1,0.0,IL32,0.0,KRT8,0.0,SPINT2,0.0,MT-CO3,0.0,AIF1,0.0,RDH11,0.0,NR2F2,0.0,DSTN,0.0,ADGRF5,0.0,IFI27,1.994998422118698e-91,TRAC,0.0,HSPA1B,0.0,RHEX,0.0,COL6A2,0.0,PSAP,0.0,HCST,0.0,TNFRSF18,0.0,SPON2,0.0,HLA-C,0.0,MT-ND1,7.882924222577441e-226,AZGP1,0.0,HSPE1,6.108182369207197e-50,HLA-DQA1,2.7744591897292526e-278,FTL,5.0332408860449645e-202,EEF1A1,3.2821181154773087e-72,RGS5,2.5101102884381104e-83,ITGA2,7.209845723265817e-260,MT-ATP6,3.888854464002064e-101,AZGP1,3.876235702656979e-142,CST3,5.124571532272791e-116,MUC6,4.5802700081002455e-116,CDH19,5.041633554540344e-102,HLA-DQB1,4.066647994217573e-73,TRPM4,1.9198240780065053e-102,CD7,1.3537897090655994e-59,DBI,1.6516355212182354e-67,CDH1,4.2377254318977545e-31,TMEFF2,1.7570120391328273e-48,CAVIN2,4.505509818193112e-47,SEC11C,6.069095522977811e-14,FTH1,1.1793288486895506e-34,PLPP1,1.7514203404575623e-31,AZGP1,7.873355644713696e-25,MESP1,1.1836880502279091e-28,FBP1,2.6957684070917545e-23,SPON2,8.303200752005808e-18,APOE,8.75264530128713e-21,CXCL10,6.1326297372914e-20,AC020656.1,3.4051566817131973e-19,CLDN3,3.0839842619468507e-17,TTN,5.571705728965273e-20,CLDN4,2.444555700959731e-15,C7,3.5058983312205304e-13,TSPAN1,1.5740594678639024e-15,FABP5,4.073506308297127e-16,C1QB,9.758456679602984e-16,H2AFJ,2.0476682879517607e-13,TRGC1,1.0729578787600661e-13,ACTB,2.8827358299978056e-11,TM4SF1,4.6477675317095395e-09,CLDN4,3.9601214620344326e-09,ETS2,2.1180645587612706e-09,KLK2,7.194014919641101e-11,LYZ,1.0635080170134196e-09,TRPM4,3.462317066969675e-10,PLA2G2A,2.2094844208645265e-08
9,FLT1,0.0,CD3E,0.0,CACYBP,0.0,CD52,0.0,FHL2,0.0,P4HB,0.0,FXYD3,0.0,MS4A6A,0.0,KLK2,0.0,COL6A2,0.0,ADIRF,0.0,EMCN,0.0,S100A6,5.30662840175137e-87,CD3E,0.0,HCST,0.0,SRGN,0.0,COL1A2,0.0,BCL2A1,0.0,XCL2,0.0,TRBC2,0.0,RLN1,0.0,KLRD1,0.0,MT-ND3,1.4405433242203402e-214,NPY,0.0,HSPA8,8.374067716472787e-48,RPLP2,5.919638397276213e-276,HLA-DQA1,7.894551699473747e-193,KRT18,3.869236385500385e-69,MT1A,3.9489657035334955e-82,GADD45A,2.869690951643436e-258,MT-CO2,2.7779812082555336e-90,NPY,1.223357857902289e-140,HLA-DRB1,4.994603448554662e-115,AGR2,2.2984046653508806e-113,PRNP,5.643441524584898e-98,TMSB10,1.3303021640439958e-71,AC007009.1,1.0502318774680663e-101,SLC38A1,4.233794656859369e-58,ACPP,4.721218013369395e-67,EFHC1,1.687995691148312e-30,TSPAN1,1.894847090632574e-48,APOD,1.6184349968825515e-44,CD27,1.6597498939972382e-12,CXCL8,1.5299360041750689e-33,EDNRB,2.006164817558738e-31,HLA-DPA1,2.6625380318200975e-24,MPC2,1.4339464811096233e-28,CALR,5.2297100489555426e-23,RDH11,1.047727561072989e-17,ANXA2,1.7650295228853505e-20,CLDN4,1.8681285588567928e-19,MT2A,3.473342563344433e-19,ELF3,1.3655728104059105e-16,TPM1,7.16284323823544e-20,TACSTD2,4.512921477785126e-15,IGFBP6,2.5167763335060998e-12,SPON2,2.593921302528057e-15,TFF3,4.2176667141807974e-16,LYZ,1.1332268698614853e-15,KLK2,2.276436529486964e-13,CYB5A,1.1765904975457016e-13,MT2A,4.09489945504797e-11,TFF3,2.0820187686051008e-08,CXCR4,5.9468763849710015e-09,EZR,5.356068747916778e-09,SEC11C,9.797839685626382e-11,SOD2,3.1542760740067914e-09,SPON2,4.4048517824850014e-10,LYZ,2.3383915627887136e-08
10,CALCRL,0.0,CD3D,0.0,CD2,0.0,HCST,0.0,MPZL2,0.0,KLK4,0.0,KRT15,0.0,CST3,0.0,MT1H,0.0,HIGD1B,0.0,FRZB,0.0,APP,0.0,SPARCL1,4.259915565410678e-76,RORA,0.0,RPS27,0.0,HDC,0.0,TIMP1,0.0,S100A9,0.0,GZMA,0.0,CD3D,0.0,DHRS7,0.0,CTSW,0.0,MTRNR2L12,6.96498335875732e-194,PCA3,0.0,RPS26,5.442321209094951e-43,HLA-DQB1,2.2044742976969702e-275,AIF1,1.9308646787850256e-180,ACPP,4.6533889983951716e-66,ORM1,9.43572315020674e-81,S100A11,1.0239705437887916e-248,MT-CO1,4.102412930637795e-79,DHRS7,7.093120874156388e-114,FCER1G,6.687924268905119e-97,FAM3D,2.8805671571721215e-109,SPARC,9.548057228932498e-98,CPVL,2.370243559355397e-69,PDLIM5,1.1165216598438373e-101,CXCR4,6.786337295489503e-57,RLN1,2.914890033623289e-66,C5orf49,1.6973306846974843e-30,KLK2,3.487401670487866e-48,MARCKS,1.0931702993010336e-43,HBB,5.116478720496507e-12,HLA-DRA,1.0994094101526511e-32,RGS5,2.17386171473101e-31,DHRS7,6.5236800964907974e-24,SEMA3C,2.182539283677705e-28,APOE,5.804277603103773e-23,FABP5,1.821005981488034e-17,CD68,3.108877109423604e-20,SLPI,6.184003796616239e-19,APOC2,3.9709530689282793e-19,KRT8,1.583728522544542e-16,TNNI1,9.987505542840325e-19,TM4SF1,5.6366770485315414e-15,JUNB,4.7094038798457096e-12,RLN1,3.1485675745905684e-15,STEAP2,8.245849422562598e-16,SERPINB2,3.3451021606267877e-15,PDLIM5,5.212530679965098e-13,PART1,1.5532194028325917e-13,MT1E,5.093489786032672e-11,MT-ATP6,2.1276903435749808e-08,TSPAN1,6.536061362299986e-09,SFN,6.35513965829775e-09,AGR2,1.0088919647072989e-10,CD83,3.560637775881545e-09,CXCL2,4.528997838037056e-10,MSMB,3.4012168086808384e-08
11,GSN,0.0,CD2,0.0,CD8A,0.0,PTPRC,0.0,KRT15,0.0,MSMB,0.0,LAMB3,0.0,FCGR2A,0.0,RLN1,0.0,MAP1B,0.0,MYLK,0.0,GNG11,0.0,HES1,6.036081900935963e-72,B2M,0.0,DNAJB1,0.0,FTH1,0.0,RARRES2,0.0,AIF1,0.0,CD247,0.0,B2M,0.0,TMPRSS2,0.0,CCL5,0.0,MT-ND5,7.822725893016348e-192,DBI,0.0,HSPH1,2.7889532597013312e-42,LTB,1.8536472454052304e-273,C1QA,8.395203731790068e-161,HBB,7.671836464541016e-65,GADD45B,2.2402578162648633e-78,KRT17,5.0522649085865284e-244,SYNE2,2.3719963688802873e-71,MESP1,1.7262454281444687e-113,NPC2,7.507341247591544e-94,PTGS2,4.206802690292303e-108,CLU,2.1821242423644928e-95,ACTB,2.1845085866295434e-53,ABHD2,5.40824769828832e-100,CD96,8.782992451412654e-57,H2AFJ,9.887524840446175e-66,RSPH1,1.7049111090421852e-30,RDH11,1.4457554714745057e-47,NRP2,4.210923507935936e-43,SPAG4,6.243999804750758e-12,MT1H,1.1832413718675657e-32,COX4I2,2.816931603217026e-31,DBI,6.91018735627803e-24,CYB5A,2.2538736058353337e-28,MT2A,6.987148447092496e-23,IL1B,4.725258578152742e-17,CD63,5.296210748957034e-20,SFN,2.3555602422859797e-18,MT1A,4.786940878817326e-19,TM4SF1,8.800431885517914e-16,IL32,5.481588260374384e-17,OLR1,7.637512497961256e-15,C1R,5.158361252717285e-12,SEC11C,7.062165115646579e-15,KLK2,9.228176464440197e-16,C1QA,4.731921534076073e-15,AZGP1,5.354612814480482e-13,SNHG19,1.7728316969486285e-13,HLA-DRB1,5.5085111537085447e-11,MT-ND4L,4.0603012479909955e-08,TFF3,1.2542275139802373e-08,ACTB,7.696772239730712e-09,AZGP1,1.060651604321839e-10,S100A9,5.352437961856177e-09,RPS8,5.819313702227456e-10,PCA3,5.860704043443578e-08
12,RAMP2,0.0,PTPRC,0.0,SAMSN1,0.0,CD8B,0.0,ACTG1,0.0,PLPP5,0.0,GSTP1,0.0,HLA-DMA,0.0,APOE,0.0,BGN,0.0,IGFBP7,0.0,TIMP3,0.0,KRT7,6.652304696100748e-70,HSPA1B,0.0,CD3E,0.0,LTC4S,0.0,IGFBP5,0.0,S100A11,0.0,KLRF1,0.0,BATF,0.0,STEAP2,0.0,CYBA,0.0,PTPRC,1.4818928867365583e-168,SMS,0.0,KLK2,6.365575147523899e-41,RPS11,2.0485440851342148e-269,C1QB,1.202543663881174e-152,RPL41,1.7970228361292346e-58,RHOB,1.9974431013406788e-73,SEMG1,8.913316668740064e-237,ARGLU1,2.4504097830235217e-69,PPP3CA,1.87258241118393e-111,FTH1,2.0732097081133394e-86,NUCB2,7.263394121039323e-108,ALDH1A1,1.496180248171245e-94,TMSB4X,3.0433690576061746e-52,GSTA4,8.547660787458178e-100,CREM,2.0501283852294133e-56,SMS,1.5291022334473318e-65,CFAP298,2.5752328903545457e-30,AZGP1,2.8330250618706117e-47,FABP5,9.224779525812432e-43,PRDX4,1.955226731206796e-11,HLA-DRB1,1.599994464695073e-31,NDUFA4L2,3.109785356191607e-31,ARG2,1.2227714963162098e-23,PART1,3.321369328370011e-28,MMP7,7.284815636827257e-23,CCL3,5.630188925171991e-17,CALR,5.3875956726096816e-20,ANXA1,3.44966035783889e-18,G0S2,6.440109571443753e-19,G0S2,3.8796643480237934e-15,COX7A1,1.020206273672585e-16,MT-CO1,1.6544744009789504e-14,SERPING1,8.017044073464526e-12,TMEFF2,8.927877089202829e-15,DBI,1.4010725271144265e-15,SELENOP,7.28629636381676e-15,ACPP,6.982467132000064e-13,MESP1,2.5881048317047863e-13,APOE,1.239164559858648e-10,CALD1,9.728222748700957e-08,SPON2,1.563856743734634e-08,S100A6,1.072192231033073e-08,TMPRSS2,1.2267278416839084e-10,PLAUR,5.868107865180818e-09,RPL12,5.98466546166966e-10,PDLIM5,6.276914212238547e-08
